SplitLayer,Time1,Time2,Time3,Time4
NO_SPLIT,0.6687415129999863,0,0,0
NO_SPLIT,0,0.17974011299884296,1.573,0
245,0,0.584652494002512,1.197,0
246,0.6329859690013109,0.18664822899881983,1.242,0
247,0.5318709389975993,0.1902258209993306,1.283,0
248,0.6014236889968743,0.30444504899787717,1.112,0
249,0.5253505629989377,0.19428409400279634,1.234,0
250,0.5232694990008895,0.2902836529974593,1.23,0
251,0.49940402599895606,0.1867137619992718,1.163,0
252,0.5632297550000658,0.19481603399981395,1.273,0
253,0.5615867800006527,0.18695632700109854,1.211,0
254,0.6707936040002096,0.18689921899931505,1.046,0
255,0.5235698760006926,0.0880348309983674,1.208,0
256,0.5857458870013943,0.19757236800069222,1.118,0
257,0.6557977449992904,0.18409733199951006,1.132,0
258,0.7069229520020599,0.10839203100113082,1.221,0
259,0.7358425519996672,0.19063109399940004,1.199,0
260,0.5848425730000599,0.18384462899848586,1.193,0
261,0.5139024339987373,0.18593577200226719,1.221,0
262,0.544702638999297,0.27572354700168944,1.145,0
263,0.47351050300130737,0.12785504999919794,1.178,0
264,0.4613188250004896,0.18845131199850584,1.134,0
265,0.5512854129992775,0.0988492659998883,1.134,0
266,0.5422746759977599,0.19917514299959294,1.19,0
267,0.527283866002108,0.1843394690004061,1.191,0
268,0.5100967700018373,0.134362502998556,1.157,0
269,0.4868422860017745,0.18808296100178268,1.181,0
270,0.5352156400003878,0.17989891799879842,1.11,0
271,0.537146765000216,0.10677307800142444,1.002,0
272,0.49145791699993424,0.11821310099912807,1.105,0
273,0.5648789740007487,0.16267230399898835,1.126,0
274,0.5533189730012964,0.1489252840001427,1.094,0
275,0.5646407020030892,0.1789070009981515,1.15,0
276,0.6543027230000007,0.09400362900123582,1.173,0
277,0.6813795320013014,0.12179344499963918,1.183,0
278,0.5612565639967215,0.1849063469999237,1.12,0
279,0.4816909930013935,0.10611471000083839,1.169,0
280,0.5809409490029793,0.16793753599995398,1.103,0
281,0.7036235350024072,0.10625826899922686,1.033,0
282,0.5320839180021721,0.10469928000020445,1.076,0
283,0.4633528389967978,0.10765330100184656,1.242,0
313,0.4960060400007933,0.18852652300120099,1.083,0
314,0.5720394919990213,0.09886446699965745,1.168,0
