SplitLayer,TensorLength,OpType,NrParameters,NrFilters,FLOPS,LayerInfTimeEdge,LayerInfTimeCloud
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,204800,Conv,320,32,9312,0.0,0.000184
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,204800,Conv,528,32,608,0.001068,0.000295
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,102400,Conv,1536,16,1536,0.002383,0.000118
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,614400,Conv,384,96,288,0.000973,5e-05
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,614400,BatchNormalization,0,96,288,0,0.0
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,629856,Pad,960,96,82944,0.003748,0.0
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,153600,Conv,2328,96,2592,0.000707,0.146815
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,38400,Conv,8952,24,233232,0.002913,8.5e-05
sequential-mobilenetv2_1.00_160-block_2_add-add_0,38400,Add,3600,24,3456,0.003798,0.000409
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,230400,Conv,0,144,432,6e-05,0.0
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,242064,Pad,1440,144,186624,0.008324,0.0
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,57600,Conv,4640,144,5040,0.000362,0.147904
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,12800,Conv,15008,32,358592,0.00107,5.2e-05
sequential-mobilenetv2_1.00_160-block_4_add-add_0,12800,Add,14432,32,358016,0.001245,0.000249
sequential-mobilenetv2_1.00_160-block_5_add-add_0,12800,Add,6336,32,6144,0.001103,0.000155
sequential-mobilenetv2_1.00_160-block_6_expand_BN-FusedBatchNormV3_0,76800,Conv,0,192,576,6.3e-05,0.0
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,84672,Pad,1920,192,331776,0.000123,0.0
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,19200,Conv,12352,192,12864,0.000238,0.148657
sequential-mobilenetv2_1.00_160-block_6_project_BN-FusedBatchNormV3_0,6400,Conv,54592,64,1386112,0.000479,3.7e-05
sequential-mobilenetv2_1.00_160-block_7_add-add_0,6400,Add,53440,64,1384960,0.001096,0.000185
sequential-mobilenetv2_1.00_160-block_8_add-add_0,6400,Add,53440,64,1384960,0.001041,0.000143
sequential-mobilenetv2_1.00_160-block_9_add-add_0,6400,Add,24960,64,24576,0.001104,0.000149
sequential-mobilenetv2_1.00_160-block_10_expand_BN-FusedBatchNormV3_0,38400,Conv,3840,384,1328256,4.3e-05,0.0
sequential-mobilenetv2_1.00_160-block_10_depthwise_BN-FusedBatchNormV3_0,38400,Conv,36960,384,38016,0.000105,5.1e-05
sequential-mobilenetv2_1.00_160-block_10_project_BN-FusedBatchNormV3_0,9600,Conv,118752,96,3111360,0.000752,3.4e-05
sequential-mobilenetv2_1.00_160-block_11_add-add_0,9600,Add,117024,96,3109632,0.002719,0.000392
sequential-mobilenetv2_1.00_160-block_12_add-add_0,9600,Add,55872,96,55296,0.001798,0.000248
sequential-mobilenetv2_1.00_160-block_13_expand_BN-FusedBatchNormV3_0,57600,Conv,0,576,1728,3.8e-05,0.0
sequential-mobilenetv2_1.00_160-block_13_pad-Pad_0,69696,Pad,5760,576,2985984,0.000314,0.0
sequential-mobilenetv2_1.00_160-block_13_depthwise_BN-FusedBatchNormV3_0,14400,Conv,92320,576,93888,0.000328,0.150297
sequential-mobilenetv2_1.00_160-block_13_project_BN-FusedBatchNormV3_0,4000,Conv,320800,160,8614240,0.000592,3.7e-05
sequential-mobilenetv2_1.00_160-block_14_add-add_0,4000,Add,317920,160,8611360,0.001779,0.000265
sequential-mobilenetv2_1.00_160-block_15_add-add_0,4000,Add,154560,160,153600,0.001512,0.000197
sequential-mobilenetv2_1.00_160-block_16_expand_BN-FusedBatchNormV3_0,24000,Conv,9600,960,8297280,2.9e-05,0.0
sequential-mobilenetv2_1.00_160-block_16_depthwise_BN-FusedBatchNormV3_0,24000,Conv,307520,960,310080,0.000257,8e-05
sequential-mobilenetv2_1.00_160-block_16_project_BN-FusedBatchNormV3_0,8000,Conv,409600,320,409600,0.000837,3.4e-05
sequential-mobilenetv2_1.00_160-Conv_1-Conv2D_0,32000,Conv,5120,1280,3840,0.002636,0.000144
sequential-mobilenetv2_1.00_160-Conv_1_bn-FusedBatchNormV3_0,32000,BatchNormalization,0,1280,35840,0,0.0
sequential-global_average_pooling2d-Mean_0,1280,GlobalAveragePool,1280,1280,1280,0.001291,0.000164
sequential-dense-MatMul_0,1,MatMul,1,1,1,0,0
